City,Year,Month,News Item ID,Date ID,Provider ID,Headline,Byline,Date Line,Credit Line,Copyright Line,Slug Line,Keywords,Edition,Location (AdminMeta),Country,City (Metadata),Page Number,Status,Urgency,Language,Subject,Processed,Published,Usage Type,Rights Holder,Image Width,Image Height,Image Size (bytes from XML),Actual File Size (bytes),Image Href,XML Path,Image Path,Image Exists,Creation Date,Revision Date,Comment Data
Kolhapur,2012,12,KOP12B25369,20121221,KOP12B25369,शाहूला पुरस्कार,,20121221,,,शाहूला पुरस्कार,"शाहूला पुरस्कार, शाहूला पुरस्कार",Agro,Pne,,,2,Usable,1,en,I,false,true,public,sakal,2169,1440,3123360,3734883,2012-12-21_KOP12B25369_MED_2_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/2012-12-21_KOP12B25369_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/2012-12-21_KOP12B25369_MED_2_Org.jpg,Yes,20121220,20121220,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>12/20/2012 12:26:45 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>12/20/2012 12:29:43 PM </td><td>Media Edited</td> <td> kjayprakash </td></tr><tr><td>12/20/2012 12:32:18 PM </td><td>Correct and Move Media to Pages: Agro2</td> <td> kjayprakash </td></tr><tr><td>12/20/2012 12:39:20 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>12/20/2012 12:40:25 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>12/20/2012 12:40:25 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>12/20/2012 12:40:26 PM </td><td>Media  marked as Ready and sent to Pages: Agro2, </td> <td> wprasanna </td></tr><tr><td>12/20/2012 2:19:11 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-2(Agro2)(Pub Date: 21 Dec 2012)</td> <td> amar.kamble </td></tr>"
Kolhapur,2012,12,KOP12B26078,20121223,KOP12B26078,सकाळ सायकल रॅली,संजय देसाई,20121223,संजय देसाई,,सकाळ सायकल रॅली,"सकाळ सायकल रॅली, सकाळ सायकल रॅली",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,2679,1750,4688250,4425600,2012-12-23_KOP12B26078_MED_2_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/2012-12-23_KOP12B26078_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/2012-12-23_KOP12B26078_MED_2_Org.JPG,Yes,20121222,20121222,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>12/22/2012 3:49:34 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>12/22/2012 5:35:30 PM </td><td>Media moved to user pprakash</td> <td> pprakash </td></tr><tr><td>12/22/2012 5:36:41 PM </td><td>Media Edited</td> <td> pprakash </td></tr><tr><td>12/22/2012 5:37:01 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> pprakash </td></tr><tr><td>12/22/2012 6:08:56 PM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>12/22/2012 6:11:22 PM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>12/22/2012 6:11:23 PM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>12/22/2012 6:11:26 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> ybhaskar </td></tr><tr><td>12/22/2012 7:56:11 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(CDPradesh)(Pub Date: 23 Dec 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,12,KOP12B27020,20121227,KOP12B27020,संजय खोत यांनी वांग्याच्या शेतात कामगंध सापळे लावल्यापासून कीडींचा प्रादुर्भाव कमी झाला.,,20121227,,,संजय खोत यांनी वांग्याच्या शेतात कामगंध सापळे लावल्यापासून कीडींचा प्रादुर्भाव कमी झाला.,"ऍग्रोवनसाठी, ऍग्रोवनसाठी",Agro,Pne,,,9,Usable,1,en,I,false,true,public,sakal,1531,1148,1757588,2866660,2012-12-27_KOP12B27020_MED_9_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/2012-12-27_KOP12B27020_MED_9_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/2012-12-27_KOP12B27020_MED_9_Org.JPG,Yes,20121226,20121226,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>2/16/2015 5:05:18 PM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>2/17/2015 11:22:16 AM </td><td>Media moved to user mradhika</td> <td> gdamit </td></tr><tr><td>2/17/2015 11:54:24 AM </td><td>Media Edited</td> <td> mradhika </td></tr><tr><td>2/17/2015 11:59:07 AM </td><td>Correct and Move Media toPages: Agro8</td> <td> mradhika </td></tr><tr><td>2/17/2015 12:28:47 PM </td><td>Priority Changed</td> <td> mbalu </td></tr><tr><td>2/17/2015 12:31:42 PM </td><td>Media detached</td> <td> mbalu </td></tr><tr><td>2/17/2015 12:48:13 PM </td><td>Media processed</td> <td> mbalu </td></tr><tr><td>2/17/2015 12:48:14 PM </td><td>Media Edited</td> <td> mbalu </td></tr><tr><td>2/17/2015 12:48:17 PM </td><td>Media  marked as Ready and sent toPages: Agro8,</td> <td> mbalu </td></tr><tr><td>2/17/2015 6:26:05 PM </td><td>Media pasted on Pune-Agrowon-Agro_Special-A-3(Agro8)(Pub Date: 12 Feb 2015)</td> <td> pravin.takawale </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>9/5/2014 1:14:16 PM </td><td>Photo received from SmartArchive</td> <td> SmartArchive </td></tr><tr><td>9/5/2014 1:19:21 PM </td><td>Media Edited</td> <td> ksatish </td></tr><tr><td>9/5/2014 1:19:43 PM </td><td>Correct and Move Media toPages: Agro11</td> <td> ksatish </td></tr><tr><td>9/5/2014 1:19:49 PM </td><td>Media detached</td> <td> wprasanna </td></tr><tr><td>9/5/2014 1:23:19 PM </td><td>Media processed</td> <td> wprasanna </td></tr><tr><td>9/5/2014 1:23:20 PM </td><td>Media Edited</td> <td> wprasanna </td></tr><tr><td>9/5/2014 1:23:26 PM </td><td>Media  marked as Ready and sent toPages: Agro11,</td> <td> wprasanna </td></tr><tr><td>9/5/2014 2:22:48 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-11(Agro11)(Pub Date: 06 Sep 2014)</td> <td> rahul.kamthe </td></tr><tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>12/26/2012 12:04:59 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>12/26/2012 12:07:24 PM </td><td>Media moved to user ksatish</td> <td> ksatish </td></tr><tr><td>12/26/2012 12:12:48 PM </td><td>Correct and Move Media to Pages: Agro9</td> <td> ksatish </td></tr><tr><td>12/26/2012 12:21:04 PM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:29:29 PM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:29:29 PM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:29:30 PM </td><td>Media  marked as Ready and sent to Pages: Agro9, </td> <td> ybhaskar </td></tr><tr><td>12/26/2012 2:40:41 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-9(Agro9)(Pub Date: 27 Dec 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,12,KOP12B27052,20121226,KOP12B27052,शाहू मिल पहाणी,बी.डी.चेचर,20121226,बी.डी.चेचर,सर्व,शाहू मिल पहाणी,"शाहू मिल पहाणी, शाहू मिल पहाणी",Central_Desk,Pne,,,2,Usable,1,en,I,false,true,public,sakal,2835,1900,5386500,11081631,2012-12-26_KOP12B27052_MED_2_Org.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/2012-12-26_KOP12B27052_MED_2_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/2012-12-26_KOP12B27052_MED_2_Org.jpg,Yes,20121225,20121225,"<tr><td colspan='3' style=""font-weight:bold"">Pune</td></tr><tr><td>12/25/2012 7:20:08 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>12/25/2012 7:23:13 PM </td><td>Media moved to user nyogesh</td> <td> nyogesh </td></tr><tr><td>12/25/2012 7:25:05 PM </td><td>Media Edited</td> <td> nyogesh </td></tr><tr><td>12/25/2012 7:25:25 PM </td><td>Correct and Move Media to Pages: CDPradesh</td> <td> nyogesh </td></tr><tr><td>12/25/2012 7:25:45 PM </td><td>Media detached</td> <td> nsanjay </td></tr><tr><td>12/25/2012 7:27:41 PM </td><td>Media processed</td> <td> nsanjay </td></tr><tr><td>12/25/2012 7:27:42 PM </td><td>Media Edited</td> <td> nsanjay </td></tr><tr><td>12/25/2012 7:27:44 PM </td><td>Media  marked as Ready and sent to Pages: CDPradesh, </td> <td> nsanjay </td></tr><tr><td>12/25/2012 8:35:11 PM </td><td>Media pasted on Pune-Central_Desk-Central_Desk-A-2(CDPradesh)(Pub Date: 26 Dec 2012)</td> <td> artistcdesk </td></tr>"
Kolhapur,2012,12,KOP12B27026,20121227,KOP12B27026,वांग्याचे शेत,,20121227,,,वांग्याचे शेत,"वांग्याचे शेत, वांग्याचे शेत",Agro,Pne,,,9,Usable,1,en,I,false,true,public,sakal,1531,926,1417706,2462924,2012-12-27_KOP12B27026_MED_9_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/2012-12-27_KOP12B27026_MED_9_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/2012-12-27_KOP12B27026_MED_9_Org.JPG,Yes,20121226,20121226,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>12/26/2012 12:02:27 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>12/26/2012 12:06:12 PM </td><td>Media moved to user ksatish</td> <td> ksatish </td></tr><tr><td>12/26/2012 12:13:17 PM </td><td>Correct and Move Media to Pages: Agro9</td> <td> ksatish </td></tr><tr><td>12/26/2012 12:30:43 PM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:38:29 PM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:38:29 PM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:38:30 PM </td><td>Media  marked as Ready and sent to Pages: Agro9, </td> <td> ybhaskar </td></tr><tr><td>12/26/2012 2:38:11 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-9(Agro9)(Pub Date: 27 Dec 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,12,KOP12B27036,20121227,KOP12B27036,रावसाहेब चौगुले,,20121227,,,रावसाहेब चौगुले,"रावसाहेब चौगुले, रावसाहेब चौगुले",Agro,Pne,,,9,Usable,1,en,I,false,true,public,sakal,1531,1148,1757588,2628847,2012-12-27_KOP12B27036_MED_9_Org.JPG,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/2012-12-27_KOP12B27036_MED_9_Org.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/2012-12-27_KOP12B27036_MED_9_Org.JPG,Yes,20121226,20121226,"<tr><td colspan='3' style=""font-weight:bold"">agro</td></tr><tr><td>12/26/2012 12:02:52 PM </td><td>Photo received from L-Kolhapur</td> <td> L-Kolhapur </td></tr><tr><td>12/26/2012 12:06:12 PM </td><td>Media moved to user ksatish</td> <td> ksatish </td></tr><tr><td>12/26/2012 12:12:48 PM </td><td>Correct and Move Media to Pages: Agro9</td> <td> ksatish </td></tr><tr><td>12/26/2012 12:30:22 PM </td><td>Media detached</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:37:56 PM </td><td>Media processed</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:37:57 PM </td><td>Media Edited</td> <td> ybhaskar </td></tr><tr><td>12/26/2012 12:37:58 PM </td><td>Media  marked as Ready and sent to Pages: Agro9, </td> <td> ybhaskar </td></tr><tr><td>12/26/2012 2:39:11 PM </td><td>Media pasted on Pune-Agrowon-Agro-A-9(Agro9)(Pub Date: 27 Dec 2012)</td> <td> pravin.takawale </td></tr>"
Kolhapur,2012,12,"
        ",20121221,$$MediaCode$$,राजेंद्र पाटील यड्रावकर अध्यक्ष (शरद सहकारी काखर कारखाना),सुनिल पाटील,20121221,सकाळ,सकाळ,राजेंद्र पाटील यड्रावकर अध्यक्ष (शरद सहकारी काखर कारखाना),"सहकार राजकारण, सहकार राजकारण",,KOP,,,,Usable,1,en,political,true,false,public,sakal,2592,3872,5621438,5621438,3.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/3.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/3.jpg,Yes,$$FirstCreated$$,$$ThisRevisionCreated$$,<tr><td>21/12/2012 05:40:09 PM</td><td>Image Added</td><td>kop.lib</td></tr><tr><td>21/12/2012 05:40:09 PM</td><td>Image Archived</td><td>kop.lib</td></tr>
Kolhapur,2012,12,"
        ",20121221,$$MediaCode$$,राजेंद्र पाटील यड्रावकर अध्यक्ष (शरद सहकारी काखर कारखाना),सुनिल पाटील,20121221,सकाळ,सकाळ,साखर कारखाना कोल्हापूर,"सकाळ, सकाळ",,KOP,,,,Usable,1,en,political,true,false,public,sakal,3872,2592,7090490,7090490,4.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/4.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/4.jpg,Yes,$$FirstCreated$$,$$ThisRevisionCreated$$,<tr><td>21/12/2012 05:38:19 PM</td><td>Image Added</td><td>kop.lib</td></tr><tr><td>21/12/2012 05:38:19 PM</td><td>Image Archived</td><td>kop.lib</td></tr>
Kolhapur,2012,12,"
        ",20121221,$$MediaCode$$,राजेंद्र पाटील यड्रावकर अध्यक्ष (शरद सहकारी काखर कारखाना),सकाळ,20121221,सकाळ,सकाळ,राजेंद्र पाटील यड्रावकर,"सहकार, सहकार",,,,,,Usable,1,en,political,true,false,public,sakal,3872,2592,5034444,5034444,5.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/5.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/5.jpg,Yes,$$FirstCreated$$,$$ThisRevisionCreated$$,<tr><td>21/12/2012 05:30:37 PM</td><td>Image Added</td><td>kop.lib</td></tr><tr><td>21/12/2012 05:30:37 PM</td><td>Image Archived</td><td>kop.lib</td></tr>
Kolhapur,2012,12,"
        ",20121221,$$MediaCode$$,राजेंद्र पाटील यड्रावकर अध्यक्ष (शरद सहकारी काखर कारखाना),सुनिल पाटील,20121221,सकाळ,सकाळ,राजेंद्र पाटील यड्रावकर अध्यक्ष (शरद सहकारी काखर कारखाना),"राजकारण, राजकारण",,KOP,,,,Usable,1,en,political,true,false,public,sakal,2592,3872,6057408,6057408,7.jpg,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/processed/7.xml,/Users/amangupta/Desktop/ITB/Datasets/Sample_Images/Kolhapur/2012/12/media/7.jpg,Yes,$$FirstCreated$$,$$ThisRevisionCreated$$,<tr><td>21/12/2012 05:32:19 PM</td><td>Image Added</td><td>kop.lib</td></tr><tr><td>21/12/2012 05:32:19 PM</td><td>Image Archived</td><td>kop.lib</td></tr>
